"","name","age","mw","league","year","points","ranking","logmw"
"258","Dortmund",23.8,5.65,"1. Bundesliga",2012,81,1,1.73165554515835
"259","Leverkusen",23.3,5.21,"1. Bundesliga",2012,54,5,1.65057985576528
"260","Schalke 04",23.9,3.7,"1. Bundesliga",2012,64,3,1.30833281965018
"261","Werder Bremen",23.3,3.3,"1. Bundesliga",2012,42,9,1.19392246847243
"262","Wolfsburg",24.9,2.77,"1. Bundesliga",2012,44,8,1.01884732019925
"263","Hamburg",23.1,2.87,"1. Bundesliga",2012,36,15,1.05431202977153
"264","Stuttgart",24.3,3.18,"1. Bundesliga",2012,53,6,1.15688119679209
"265","Hoffenheim",23,2.75,"1. Bundesliga",2012,41,11,1.01160091167848
"266","FC Koln",24.2,2.24,"1. Bundesliga",2012,30,17,0.806475865866949
"267","Hannover",24.7,2.22,"1. Bundesliga",2012,48,7,0.797507195884188
"268","M'gladbach",23.4,2.11,"1. Bundesliga",2012,60,4,0.746687947487975
"269","Freiburg",24.2,1.69,"1. Bundesliga",2012,40,12,0.524728528934982
"270","Mainz",24.7,1.84,"1. Bundesliga",2012,39,13,0.609765571620894
"271","Hertha",23.5,1.68,"1. Bundesliga",2012,31,16,0.518793793415168
"272","Kaiserslautern",23.2,1.39,"1. Bundesliga",2012,23,18,0.3293037471426
"273","Nurnberg",23.2,1.44,"1. Bundesliga",2012,42,10,0.364643113587909
"274","Augsburg",25.2,1.09,"1. Bundesliga",2012,38,14,0.0861776962410524
"275","Paris SG",25.5,6.37,"Ligue 1",2012,79,2,1.85159946958407
"276","Lyon",22.6,4.38,"Ligue 1",2012,64,4,1.47704872438835
"277","Marseille",25.1,5.19,"Ligue 1",2012,48,10,1.6467336971778
"278","Lille",25.4,4.58,"Ligue 1",2012,74,3,1.52169899812609
"279","Rennes",22.9,2.95,"Ligue 1",2012,60,6,1.08180517035173
"280","Bordeaux",24.2,2.96,"Ligue 1",2012,61,5,1.08518926833597
"281","St Etienne",24.4,2.19,"Ligue 1",2012,57,7,0.783901543828409
"282","Toulouse",22,2.25,"Ligue 1",2012,56,8,0.810930216216329
"283","Sochaux",22.6,1.65,"Ligue 1",2012,42,14,0.500775287912489
"284","Nancy",24.4,1.47,"Ligue 1",2012,45,11,0.385262400790645
"285","Nice",24.1,1.54,"Ligue 1",2012,42,13,0.431782416425538
"286","Lorient",24.1,1.4,"Ligue 1",2012,39,17,0.336472236621213
"287","Montpellier",24.7,1.62,"Ligue 1",2012,82,1,0.482426149244293
"288","Valenciennes",23.6,1.35,"Ligue 1",2012,43,12,0.300104592450338
"289","Auxerre",23.1,1.14,"Ligue 1",2012,34,20,0.131028262406404
"290","Brest",25.9,1.24,"Ligue 1",2012,41,16,0.215111379616945
"291","Evian Thonon Gaillard",26.2,1.09,"Ligue 1",2012,50,9,0.0861776962410524
"292","Ajaccio",25.4,0.845,"Ligue 1",2012,41,15,-0.168418651624963
"293","Caen",24.5,0.955,"Ligue 1",2012,38,18,-0.0460439385014068
"294","Dijon",24.1,0.736,"Ligue 1",2012,36,19,-0.306525160253261
"295","Man City",24,13.43,"Premier League",2013,78,2,2.59749101053515
"296","Man United",24.1,12.35,"Premier League",2013,89,1,2.51365606307399
"297","Chelsea",25.3,13.18,"Premier League",2013,75,3,2.57870052907436
"298","Tottenham",25.1,8.84,"Premier League",2013,72,5,2.17928687664955
"299","Arsenal",23.8,8.16,"Premier League",2013,73,4,2.09924416897602
"300","Liverpool",22.8,7.25,"Premier League",2013,61,7,1.98100146886658
"301","Newcastle",24.1,5.28,"Premier League",2013,41,14,1.66392609771817
"302","QPR",28.1,4.55,"Premier League",2013,25,20,1.51512723296286
